name_ar,name_en,sector,region,classification,matched_pattern,confidence,website
كيرني,Kearney,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.kearney.com
رولاند بيرجر,Roland Berger,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.rolandberger.com
آرثر دي ليتل,Arthur D. Little,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.adlittle.com
ألفاريز ومارسال,Alvarez & Marsal,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.alvarezandmarsal.com
بوز ألين هاميلتون,Booz Allen Hamilton,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.boozallen.com
شركة نسما والمركب,Nesma & Partners,التشييد والهندسة والبنية التحتية,المنطقة الشرقية,private,default,low,https://www.nesmapartners.com
شركة البواني,AlBawani,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://albawani.net
شركة شبه الجزيرة للمقاولات,SAJCO,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.sajco.com
شركة المباني للمقاولات العامة,Almabani,التشييد والهندسة والبنية التحتية,منطقة مكة المكرمة,private,default,low,https://www.almabani.co
شركة الفنار للمقاولات,Alfanar Construction,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://www.alfanar.com/construction
شركة جسارة لإدارة المشاريع,JASARA PMC,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.jasarapmc.com
دار الهندسة,Dar Al-Handasah,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.dar.com
مجموعة بنلادن السعودية,Saudi Binladin Group,التشييد والهندسة والبنية التحتية,منطقة مكة المكرمة,private,default,low,https://www.sbg.com.sa
خطيب وعلمي,Khatib & Alami,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.khatibalami.com
شركة بكتل العربية السعودية,Bechtel Saudi Arabia,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.bechtel.com
لارسن وتوبرو السعودية,Larsen & Toubro - L&T Saudi Arabia,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.larsentoubro.com
إيكوم العربية,AECOM Arabia,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://aecom.com/sa
مجموعة المهيدب للمقاولات,Al Muhaidib Contracting,التشييد والهندسة والبنية التحتية,المنطقة الشرقية,private,default,low,https://amc.sa
دبليو إس بي الشرق الأوسط,WSP Middle East,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.wsp.com/en-ae
شركة بارسونز العربية السعودية,Parsons Saudi Arabia,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.parsons.com
شركة التعاونية للتأمين,Tawuniya,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.tawuniya.com.sa
شركة بوبا العربية,Bupa Arabia,التأمين وإدارة المخاطر,منطقة مكة المكرمة,private,default,low,https://bupa.com.sa
شركة تكافل الراجحي,Al Rajhi Takaful,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.alrajhitakaful.com
شركة ميدغلف للتأمين,Medgulf,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.medgulf.com.sa
جي آي جي السعودية,GIG Saudi,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.giggulf.sa
شركة ولاء للتأمين التعاوني,Walaa Insurance,التأمين وإدارة المخاطر,المنطقة الشرقية,private,default,low,https://www.walaa.com
شركة ملاذ للتأمين,Malath Insurance,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.malath.com.sa
شركة الدرع العربي للتأمين,Arabian Shield,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.der3.com
شركة الإنماء طوكيو مارين,Alinma Tokio Marine,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.atmc.com.sa
شركة سلامة للتأمين التعاوني,Salama Insurance,التأمين وإدارة المخاطر,منطقة مكة المكرمة,private,default,low,https://www.salama.com.sa
شركة الاتحاد للتأمين التعاوني,Al Etihad Insurance,التأمين وإدارة المخاطر,المنطقة الشرقية,private,default,low,https://www.tui-sa.com
الشركة الخليجية العامة للتأمين,Gulf General Insurance,التأمين وإدارة المخاطر,منطقة مكة المكرمة,private,default,low,https://www.ggi-sa.com
شركة الصقر للتأمين التعاوني,Al Saqr Insurance,التأمين وإدارة المخاطر,المنطقة الشرقية,private,default,low,https://www.alsaqr.com
شركة أمانة للتأمين التعاوني,Amana Insurance,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.amanainsurance.com
شركة تشب العربية للتأمين,CHUBB Arabia,التأمين وإدارة المخاطر,المنطقة الشرقية,private,default,low,https://www.chubb.com/sa-en
صندوق الاستثمارات العامة,Public Investment Fund - PIF,الخدمات المالية,منطقة الرياض,semi_government,semi:صندوق الاستثمارات العامة,high,https://www.pif.gov.sa
شركة سنابل للاستثمار,Sanabil Investments,الخدمات المالية,منطقة الرياض,semi_government,semi:شركة سنابل,high,https://www.sanabil.com
شركة حصانة للاستثمار,Hassana Investment Company,الخدمات المالية,منطقة الرياض,private,default,low,https://www.hassana.com.sa
الرياض المالية,Riyad Capital,الخدمات المالية,منطقة الرياض,private,default,low,https://www.riyadcapital.com
شركة جدوى للاستثمار,Jadwa Investment,الخدمات المالية,منطقة الرياض,private,default,low,https://www.jadwa.com
الأول للاستثمار,SAB Invest,الخدمات المالية,منطقة الرياض,private,default,low,https://www.sabinvest.com
شركة السعودي الفرنسي كابيتال,Saudi Fransi Capital,الخدمات المالية,منطقة الرياض,private,default,low,https://www.sfc.sa
شركة الإنماء للاستثمار,Alinma Investment,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alinmainvestment.com
الاستثمار كابيتال,Alistithmar Capital,الخدمات المالية,منطقة الرياض,private,default,low,https://www.icap.com.sa
دراية المالية,Derayah Financial,الخدمات المالية,منطقة الرياض,private,default,low,https://www.derayah.com
جي آي بي كابيتال,GIB Capital,الخدمات المالية,منطقة الرياض,private,default,low,https://www.gibcapital.com
بلوم إنفست السعودية,Blominvest Saudi Arabia,الخدمات المالية,منطقة الرياض,private,default,low,https://www.blominvest.sa
شركة الخير كابيتال,Alkhair Capital,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alkhaircapital.com.sa
سينومي سنترز,Cenomi Centers,القطاع الحكومي والعام,منطقة الرياض,private,default,low,https://www.cenomicenters.com
شركة الأندلس العقارية,Alandalus Property,العقار والتطوير الحضري,منطقة الرياض,private,default,low,https://www.alandalus.com.sa
شركة سمو العقارية,Sumou Real Estate,العقار والتطوير الحضري,المنطقة الشرقية,private,default,low,https://www.sumou.com.sa
شركة لدن للاستثمار,Ladan Investment,الخدمات المالية,منطقة الرياض,private,default,low,https://www.ladan.com.sa
مجموعة ماجد الفطيم السعودية,Majid Al Futtaim KSA,العقار والتطوير الحضري,منطقة الرياض,private,default,low,https://www.majidalfuttaim.com
الشركة السعودية لتمويل المساكن,SHFC,الخدمات المالية,منطقة الرياض,private,default,low,https://www.shfc.com.sa
شركة أملاك العالمية للتمويل,Amlak International,الخدمات المالية,منطقة الرياض,private,default,low,https://www.amlakint.com
شركة النايفات للتمويل,Nayifat Finance,الخدمات المالية,منطقة الرياض,private,default,low,https://www.nayifat.com
شركة المرابحة المرنة,MRNA,الخدمات المالية,منطقة الرياض,private,default,low,https://www.mrna.sa
شركة معالم للتمويل,Maalem Financing,الخدمات المالية,منطقة الرياض,private,default,low,https://www.maalem.com.sa
مجموعة كمال عثمان جمجوم,Kamal Osman Jamjoom Group,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة مكة المكرمة,private,default,low,https://kojamjoom.com
شركة عبد الصمد القرشي,Abdul Samad Al Qurashi,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة مكة المكرمة,private,private_override:عبد الصمد القرشي,high,https://store.asqgrp.com
شركة العربية للعود,Arabian Oud,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://arabianoud.com
مجموعة الشايع السعودية,Alshaya Group KSA,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.alshaya.com
شركة الماجد للعود,Almajed Oud,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://almajed4oud.com
شركة لىجام للرياضة - وقت اللياقة,Leejam - Fitness Time,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://www.fitnesstime.com.sa
شركة أسمنت اليمامة,Yamama Cement,التعدين والمعادن والمواد,منطقة الرياض,private,default,low,https://yamamacement.com
شركة أسمنت القصيم,Qassim Cement,التعدين والمعادن والمواد,منطقة القصيم,private,default,low,https://www.qcc.com.sa
شركة أسمنت الجنوبية,Southern Province Cement,التعدين والمعادن والمواد,منطقة عسير,private,default,low,https://spcc.com.sa
شركة أسمنت ينبع,Yanbu Cement,التعدين والمعادن والمواد,منطقة مكة المكرمة,private,default,low,https://www.yanbucement.com
شركة الكابلات السعودية,Saudi Cable Company,التعدين والمعادن والمواد,منطقة مكة المكرمة,private,default,low,https://www.saudicable.com
شركة هرفي للخدمات الغذائية,Herfy Food Services,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.herfy.com
شركة البيك للأنظمة الغذائية,Albaik,التقنية والاقتصاد الرقمي,منطقة مكة المكرمة,private,default,low,https://www.albaik.com
شركة كودو,Kudu,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.kudu.com.sa
شركة مايسترو بيتزا,Maestro Pizza,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://www.maestropizza.com
شركة حلويات سعد الدين,Saadeddin Pastry,الخدمات المالية,منطقة الرياض,private,default,low,https://www.saadeddin.com
شركة مياه نوفا,Nova Water,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://www.novawater.com
شركة مياه بيرين,Berain Water,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://berain.com.sa
شركة المهيدب للأغذية,Al Muhaidib Foods,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة مكة المكرمة,private,default,low,https://www.almuhaidib.com
شركة سيسكو السعودية,Cisco Saudi Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.cisco.com
شركة مايكروسوفت السعودية,Microsoft Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.microsoft.com
شركة أوراكل السعودية,Oracle Saudi Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.oracle.com
شركة ساب السعودية,SAP Saudi Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.sap.com
شركة آي بي إم السعودية,IBM Saudi Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.ibm.com
شركة هواوي السعودية,Huawei Saudi Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.huawei.com
شركة سحابة ديم,Deem Cloud,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://deem.sa
شركة إلكسير للاستشارات,Elixir Management Consultancy,الخدمات المهنية والاستشارية,منطقة مكة المكرمة,private,default,low,https://elixir.com.sa
شركة تيم وان للاستشارات,TeamOne,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://teamone.com.sa
شركة ريناد المجد لتقنية المعلومات,RMG,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://rmg-sa.com
مجموعة الخريجي,Elkhereiji Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://www.elkhereiji.com
شركة بن زقر,Binzagr Company,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://www.binzagr.com.sa
شركة الجفالي,Juffali,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://www.juffali.com
شركة عبداللطيف جميل,Abdul Latif Jameel,السيارات والتنقل,منطقة مكة المكرمة,private,default,low,https://alj.com
شركة الوعلان للتجارة,Wallan Trading,السيارات والتنقل,منطقة الرياض,private,default,low,https://wallan.com
مجموعة محمد يوسف ناغي,Mohamed Yousuf Naghi Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://mynaghi.com
شركة توكيلات الجزيرة للسيارات,Al Jazirah Vehicles,السيارات والتنقل,منطقة الرياض,private,default,low,https://aljazirahford.com
مجموعة إم بي سي,MBC Group,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://www.mbc.net
المجموعة السعودية للأبحاث والإعلام,SRMG,الترفيه والرياضة والإعلام,منطقة الرياض,semi_government,semi:مجموعة السعودية,high,https://www.srmg.com
شركة روتانا,Rotana,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://rotana.net
تلفاز11,Telfaz11,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://telfaz11.com
مجموعة بروموسفن,Promoseven,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://promoseven.com
الشركة الوطنية للإسكان,NHC,العقار والتطوير الحضري,منطقة الرياض,semi_government,semi:الشركة الوطنية للإسكان,high,https://nhc.sa
زهير فايز ومشاركوه,Zuhair Fayez Partnership,الخدمات المهنية والاستشارية,منطقة مكة المكرمة,private,default,low,https://www.zfp.com
عمرانية,Omrania,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://omrania.com
سعود كونسلت,SaudConsult,التشييد والهندسة والبنية التحتية,منطقة الرياض,private,default,low,https://www.saudconsult.com
الشركة السعودية لإدارة المرافق,FMTECH,إدارة المرافق والتشغيل,منطقة الرياض,private,default,low,https://fmtech.sa
مجموعة إنيشيال السعودية,Initial Saudi Group,التعليم وتنمية رأس المال البشري,منطقة مكة المكرمة,private,default,low,https://initialsaudi.com
الشركة السعودية للخدمات المحدودة,SSCL,إدارة المرافق والتشغيل,منطقة الرياض,private,default,low,https://sscl.com.sa
سيركو السعودية,Serco Saudi Arabia,إدارة المرافق والتشغيل,منطقة الرياض,private,default,low,https://www.serco.com/me
جيديا,Geidea,الخدمات المالية,منطقة الرياض,private,default,low,https://geidea.net
هالة,Hala,الخدمات المالية,منطقة الرياض,private,default,low,https://hala.com
بيتابس,PayTabs,الخدمات المالية,منطقة الرياض,private,default,low,https://site.paytabs.com
فودكس,Foodics,الغذاء والزراعة والاستزراع المائي,منطقة الرياض,private,default,low,https://www.foodics.com
تمارا,Tamara,الخدمات المالية,منطقة الرياض,private,default,low,https://tamara.co
مجموعة العليان,Olayan Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة الرياض,private,default,low,https://olayan.com
مجموعة الفيصلية,Al Faisaliah Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة الرياض,private,default,low,https://alfaisaliah.com
شركة الكفاح القابضة,AlKifah Holding,المجموعات الاستثمارية والقابضة المتنوعة,المنطقة الشرقية,private,default,low,https://alkifah.com
مجموعة راشد عبدالرحمن الراشد وأولاده,RAR Group,المجموعات الاستثمارية والقابضة المتنوعة,المنطقة الشرقية,private,default,low,https://alrashed.com
شركة أبونيان القابضة,Abunayyan Holding,المجموعات الاستثمارية والقابضة المتنوعة,منطقة الرياض,private,default,low,https://abunayyanholding.com
مجموعة الدباغ,Dabbagh Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://dabbagh.com
مجموعة التركي القابضة,Alturki Holding,المجموعات الاستثمارية والقابضة المتنوعة,المنطقة الشرقية,private,default,low,https://alturkiholding.com
بنش مارك,Benchmark,الخدمات المهنية والاستشارية,منطقة مكة المكرمة,private,default,low,https://benchmark.com.sa
تراكس,TRACCS,الخدمات المهنية والاستشارية,منطقة مكة المكرمة,private,default,low,https://traccs.net
دبليو 7 وورلد وايد,W7Worldwide,الخدمات المهنية والاستشارية,منطقة مكة المكرمة,private,default,low,https://w7worldwide.com
الدانوب,Danube,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة مكة المكرمة,private,default,low,https://danube.sa
أبيات,Abyat,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,المنطقة الشرقية,private,default,low,https://www.abyat.com
مجموعة السليمان,Al Sulaiman Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://alsulaimangroup.com
مجموعة الجريسي,Jeraisy Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة الرياض,private,default,low,https://jeraisy.com
شركة حاسبات العرب,Arab Computers,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://arabcomputers.com.sa
الهيئة العامة لعقارات الدولة,SPGA,العقار والتطوير الحضري,منطقة الرياض,government,gov:الهيئة العامة لعقارات الدولة,high,https://spga.gov.sa
الشركة الأولى للتطوير العقاري,AlOula,العقار والتطوير الحضري,المنطقة الشرقية,private,private_override:الأولى للتطوير العقاري,high,https://aloula.com
شركة الجميح للتعبئة,Aljomaih Bottling Plants,الصناعة والتصنيع,منطقة الرياض,private,default,low,https://aljomaih.com
شركة التميمي ومشاركوه,Al Tamimi & Company,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.tamimi.com
شركة خُشيم ومشاركوه,Khoshaim & Associates,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.khoshaim.com
شركة زيد ومشاركوه للاستشارات القانونية,Z&Co,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.zco.sa
نجم لخدمات التأمين,Najm for Insurance Services,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://najm.sa
الشركة السعودية للمعلومات الائتمانية,SIMAH,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.simah.com
شركة الحفر العربية,Arabian Drilling,النفط والغاز والبتروكيماويات,المنطقة الشرقية,private,default,low,https://arabiandrilling.com
أديس القابضة,ADES Holding,النفط والغاز والبتروكيماويات,المنطقة الشرقية,private,default,low,https://adesgroup.com
شلمبرجير السعودية,SLB Saudi Arabia,النفط والغاز والبتروكيماويات,المنطقة الشرقية,private,default,low,https://www.slb.com
هاليبرتون السعودية,Halliburton Saudi Arabia,النفط والغاز والبتروكيماويات,المنطقة الشرقية,private,default,low,https://www.halliburton.com
بيكر هيوز السعودية,Baker Hughes Saudi Arabia,النفط والغاز والبتروكيماويات,المنطقة الشرقية,private,default,low,https://www.bakerhughes.com
مجموعة الزاهد,Zahid Group,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://www.zahid.com
الشركة السعودية الاستثمارية لإعادة التدوير,SIRC,الخدمات المالية,منطقة الرياض,private,default,low,https://sirc.sa
المركز الوطني لتنمية الغطاء النباتي,NCVC,البيئة والاستدامة,منطقة الرياض,government,gov:المركز الوطني,high,https://ncvc.gov.sa
شركة الوطنية الزراعية,Al Watania Agri,الغذاء والزراعة والاستزراع المائي,منطقة القصيم,private,default,low,https://watania-agri.com
شركة أراسكو للأغذية - إنتاج,Entaj - ARASCO,التجزئة والتجارة الإلكترونية والخدمات الاستهلاكية,منطقة الرياض,private,default,low,https://entaj.com.sa
مجموعة أسترا الزراعية,Astra Farms,الغذاء والزراعة والاستزراع المائي,منطقة تبوك,private,default,low,https://astrafarms.com.sa
جامعة الملك عبدالله للعلوم والتقنية,KAUST,التقنية والاقتصاد الرقمي,منطقة مكة المكرمة,semi_government,semi:جامعة الملك عبدالله للعلوم والتقنية,high,https://www.kaust.edu.sa
جامعة الملك فهد للبترول والمعادن,KFUPM,التعدين والمعادن والمواد,المنطقة الشرقية,government,gov_univ:جامعة الملك فهد للبترول والمعادن,high,https://www.kfupm.edu.sa
كلية الأمير محمد بن سلمان للإدارة,MBSC,التعليم وتنمية رأس المال البشري,منطقة الرياض,private,default,low,https://www.mbsc.edu.sa
الجامعة السعودية الإلكترونية,SEU,التعليم وتنمية رأس المال البشري,منطقة الرياض,government,gov_univ:الجامعة السعودية الإلكترونية,high,https://seu.edu.sa
شركة مهارة للموارد البشرية,Maharah Human Resources,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://maharah.com
الشركة السعودية لحلول القوى البشرية,SMASCO,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://smasco.com
منصة أجير,Ajeer,الخدمات المهنية والاستشارية,منطقة الرياض,private,default,low,https://www.ajeer.com.sa
شركة سدكو القابضة,SEDCO Holding,المجموعات الاستثمارية والقابضة المتنوعة,منطقة مكة المكرمة,private,default,low,https://sedco.com/en/
بروج للتأمين التعاوني,Buruj Cooperative Insurance,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://burujinsurance.com
أليانز السعودي الفرنسي,Allianz Saudi Fransi,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.allianzsf.com
الشركة العالمية للتأمين التعاوني,Al Alamiya,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://www.alamiyainsurance.com.sa
شركة ليفا للتأمين,Liva Insurance KSA,التأمين وإدارة المخاطر,منطقة الرياض,private,default,low,https://livainsurance.sa
شركة متييتو السعودية,Metito Saudi Arabia,الطاقة والمرافق والمياه,منطقة الرياض,private,default,low,https://www.metito.com
مجموعة الخليج للزجاج,Gulf Glass Manufacturing,الصناعة والتصنيع,المنطقة الشرقية,private,default,low,https://www.ggmcco.com
شركة الشرق الأوسط للكابلات المتخصصة,MESC,التعدين والمعادن والمواد,منطقة الرياض,private,default,low,https://mesccables.com
شركة الجبس الأهلية,Gypsum Corporation,التعدين والمعادن والمواد,منطقة الرياض,private,default,low,https://www.gypsco.sa
مجموعة سيرا للضيافة - إيواء,Ewaa Hotels,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://ewaahotels.com
المجموعة السعودية للسفر والسياحة,Saudi Travel Group,السياحة والضيافة والثقافة,منطقة الرياض,private,private_override:المجموعة السعودية للسفر والسياحة,high,https://sauditravelgroup.com
شركة كراود انالايزر,Crowd Analyzer Saudi,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.crowdanalyzer.com
مايندوير السعودية,Mindware Saudi Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://mindware.net
آي تيل للاتصالات,iTel,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://itel.com.sa
دي إتش إل إكسبرس السعودية,DHL Express Saudi Arabia,الترفيه والرياضة والإعلام,المنطقة الشرقية,private,default,low,https://www.dhl.com/sa-en/home.html
منصة سلاسة للخدمات اللوجستية,Salasa,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://salasa.co
تريند مايكرو السعودية,Trend Micro Saudi Arabia,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.trendmicro.com
الشركة الطبية العربية العالمية القابضة - طبية,Tibbiyah,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.tibbiyah.com
مستشفيات الحمادي,Al Hammadi Hospitals,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.alhammadi.com
مستشفى المملكة,Kingdom Hospital,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.kingdomhospital.com
مركز مغربي للعيون والأسنان,Magrabi Hospitals & Centers,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://www.magrabi.com.sa
مجموعة أندلسية للرعاية الصحية,Andalusia Healthcare,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://www.andalusiagroup.net
مستشفى الدكتور سمير عباس,Dr. Samir Abbas Hospital,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://dsah.sa
مجموعة العبير الطبية,Abeer Medical Group,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://www.alabeermedicalgroup.com
مستشفى الدكتور عرفان وباقدو,Dr. Erfan & Bagedo General Hospital,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://www.erfanbagedo.com
مستشفى عبيد التخصصي,Obeid Specialized Hospital,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://obeidhospitals.com
عيادات ديرما,Derma Clinics,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.derma.com.sa
مركز النخبة الطبي الجراحي,Elite Hospital,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.elitehospital.com
مجموعة أستر دي إم للرعاية الصحية,Aster DM Healthcare KSA,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.asterclinics.sa
شركة سدير للأدوية,Sudair Pharma,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.sudairpharma.com
مصنع عناية السعودية الطبية,Enaya Medical,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://enayamedical.com
الشركة السعودية للوازم الطبية,SMSC,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.smsc.com.sa
شركة سكوبا للصناعات العسكرية,Scopa Military Industries,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://scopa.sa
الشركة السعودية للتقنيات المتقدمة - وهج,Wahaj,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.wahaj.com.sa
شركة الشرق الأوسط للمحركات,MEPC,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.mepcsa.com
شركة التدريع للصناعة,Al-Tadrea Manufacturing,الصناعة والتصنيع,منطقة الرياض,private,default,low,https://altadrea.com
شركة إيراف الصناعية,Eraf Industrial Company,الصناعة والتصنيع,المنطقة الشرقية,private,default,low,https://www.eraf.com
شركة تقنية الفضائية,TAQNIA Space,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://taqnia.com
شركة الصيانة الفنية المتقدمة,ATMC,إدارة المرافق والتشغيل,منطقة الرياض,private,default,low,https://atmc.com.sa
سيكيوريتاس السعودية,Securitas Saudi Arabia,إدارة المرافق والتشغيل,منطقة الرياض,private,default,low,https://www.securitas.com.sa
إيرباص للدفاع والفضاء السعودية,Airbus Defence KSA,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.airbus.com
نورثروب جرومان السعودية,Northrop Grumman Saudi Arabia,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.northropgrumman.com
جنرال دايناميكس السعودية,General Dynamics KSA,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.gd.com
شركة ليوناردو السعودية,Leonardo Saudi Arabia,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://www.leonardo.com
جون كوكريل للدفاع السعودية,John Cockerill Defense SA,الدفاع والطيران والفضاء,منطقة الرياض,private,default,low,https://johncockerill.com
شركة رياضة المحركات السعودية,SMC,الترفيه والرياضة والإعلام,منطقة مكة المكرمة,private,default,low,https://saudimotorsport.com
شركة مانجا للإنتاج,Manga Productions,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://manga.com.sa
شركة إيه إم سي سينما,AMC Cinemas KSA,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://amccinemas.com
إمباير سينما,Empire Cinemas KSA,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://ksa.empirecinemas.com
جراند سينما,Grand Cinemas KSA,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://ksa.grandcinemasme.com
شركة نادي النصر السعودي,Al Nassr FC,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://alnassr.sa
